"","B_Name","R_Name","total_blue_strikes","total_red_strikes","winner","winby"
"151","Brandon Thatch","Benson Henderson",0,162,"red","SUB"
"152","Felipe Arantes","Yves Jabouin",68,113,"blue","SUB"
"153","Anthony Birchak","Joe Soto",4,45,"blue","KO/TKO"
"154","Ernest Chavez","Elias Silverio",28,81,"red","SUB"
"155","Alex Nicholson","Sam Alvey",34,187,"red","DEC"
"156","Lauren Murphy","Liz Carmouche",48,18,"red","DEC"
"157","Alexander Volkanovski","Yusuke Kasuya",0,44,"blue","KO/TKO"
"158","Alan Jouban","Brendan O'Reilly",184,57,"blue","KO/TKO"
"159","Neil Seery","Kyoji Horiguchi",222,240,"red","DEC"
"160","Joshua Burkman","Patrick Cote",0,107,"red","KO/TKO"
"161","Neil Magny","Johny Hendricks",467,278,"blue","DEC"
"162","Curtis Blaydes","Cody East",24,26,"blue","KO/TKO"
"163","Thales Leites","Gegard Mousasi",89,150,"red","DEC"
"164","Jordan Rinaldi","Abel Trujillo",0,37,"red","DEC"
"165","Louis Smolka","Richie Vaculik",134,27,"blue","KO/TKO"
"166","Jessica Eye","Miesha Tate",127,105,"red","DEC"
"167","JC Cottrell","Michel Prazeres",0,53,"red","DEC"
"168","Teruto Ishihara","Julian Erosa",0,61,"blue","KO/TKO"
"169","Sergio Moraes","Omari Akhmedov",51,85,"blue","KO/TKO"
"170","Roger Narvaez","Patrick Cummins",0,8,"red","KO/TKO"
"171","Manvel Gamburyan","Johnny Eduardo",81,15,"red","KO/TKO"
"172","Stefan Struve","Alistair Overeem",0,82,"red","KO/TKO"
"173","Shayna Baszler","Bethe Correia",0,114,"red","KO/TKO"
"174","Jimmie Rivera","Pedro Munhoz",15,26,"blue","DEC"
"175","Sirwan Kakai","Danny Martinez",0,80,"blue","DEC"
"176","Irene Aldana","Katlyn Chookagian",108,67,"red","DEC"
"177","Matt Mitrione","Travis Browne",43,76,"red","KO/TKO"
"178","Lina Lansberg","Cris Cyborg",0,26,"red","KO/TKO"
"179","Tim Boetsch","Rafael Natal",109,299,"blue","KO/TKO"
"180","Costas Philippou","Gegard Mousasi",19,77,"red","DEC"
"181","Sean Spencer","Mike Pyle",173,74,"red","KO/TKO"
"182","Michael Graves","Randy Brown",27,48,"blue","SUB"
"183","Evan Dunham","Joe Lauzon",188,68,"blue","DEC"
"184","Cody Gibson","Douglas Silva de Andrade",70,27,"red","DEC"
"185","Guido Cannetti","Hugo Viana",35,94,"blue","DEC"
"186","Francis Ngannou","Andrei Arlovski",45,176,"blue","KO/TKO"
"187","Tecia Torres","Rose Namajunas",205,41,"red","DEC"
"188","Nordine Taleb","Erick Silva",101,88,"blue","KO/TKO"
"189","Matt Dwyer","Alan Jouban",13,116,"red","DEC"
"190","Ben Saunders","Patrick Cote",106,167,"red","KO/TKO"
"191","Julianna Pena","Cat Zingano",71,40,"blue","DEC"
"192","Dashon Johnson","Godofredo Pepey",11,5,"red","SUB"
"193","Joshua Burkman","Michel Prazeres",189,168,"red","SUB"
"194","Karolina Kowalkiewicz","Rose Namajunas",185,87,"blue","DEC"
"195","Danny Martinez","Scott Jorgensen",33,6,"red","DEC"
"196","Gleison Tibau","Tony Ferguson",112,81,"red","SUB"
"197","Patrick Cummins","Ovince Saint Preux",175,34,"red","KO/TKO"
"198","Amanda Nunes","Sara McMann",37,85,"blue","SUB"
"199","Keita Nakamura","Tom Breese",0,23,"red","DEC"
"200","Julianna Pena","Jessica Eye",37,183,"blue","DEC"
"201","Matt Brown","Johny Hendricks",118,165,"red","DEC"
"202","Tony Martin","Beneil Dariush",0,18,"red","SUB"
"203","Nate Marquardt","CB Dollaway",65,103,"blue","KO/TKO"
"204","Bryan Barberena","Chad Laprise",63,106,"red","DEC"
"205","Paul Redmond","Mirsad Bektic",0,27,"red","DEC"
"206","Cyril Asker","Dmitrii Smoliakov",13,14,"blue","KO/TKO"
"207","George Sullivan","Igor Araujo",61,12,"blue","KO/TKO"
"208","Chris Avila","Enrique Barzola",42,93,"red","DEC"
"209","Mike de la Torre","Myles Jury",133,30,"red","KO/TKO"
"210","Cub Swanson","Frankie Edgar",62,90,"red","SUB"
"211","Aljamain Sterling","Raphael Assuncao",195,124,"red","DEC"
"212","Masio Fullen","Alex Caceres",41,97,"red","DEC"
"213","Kailin Curran","Felice Herrig",102,8,"red","SUB"
"214","Joe Gigliotti","Trevor Smith",0,155,"red","DEC"
"215","Diego Ferreira","Olivier Aubin-Mercier",73,128,"blue","DEC"
"216","Anthony Hamilton","Francis Ngannou",154,44,"red","SUB"
"217","Stephen Thompson","Jake Ellenberger",102,54,"blue","KO/TKO"
"218","Chad Mendes","Jose Aldo",0,58,"red","DEC"
"219","Yoel Romero","Lyoto Machida",130,67,"blue","KO/TKO"
"220","Roy Nelson","Alexander Volkov",182,45,"red","DEC"
"221","Magomed Mustafaev","Joe Proctor",18,174,"blue","KO/TKO"
"222","Augusto Mendes","Frankie Saenz",11,235,"blue","DEC"
"223","James Vick","Jake Matthews",117,86,"blue","SUB"
"224","Yancy Medeiros","Joe Proctor",41,92,"blue","SUB"
"225","Jorge Masvidal","Ross Pearson",386,283,"blue","DEC"
"226","Chris Kelades","Sergio Pettis",104,257,"red","DEC"
"227","Michel Prazeres","Valmir Lazaro",33,178,"blue","DEC"
"228","Tim Elliott","Demetrious Johnson",0,217,"red","DEC"
"229","Antonio Braga Neto","Clint Hester",0,72,"red","DEC"
"230","Guilherme Vasconcelos","Luke Zachrich",0,3,"red","DEC"
"231","Tony Ferguson","Rafael Dos Anjos",302,255,"blue","DEC"
"232","Kiichi Kunimoto","Neil Magny",53,234,"red","SUB"
"233","Tyron Woodley","Rory MacDonald",14,75,"red","DEC"
"234","Marcus Brimage","Jumabieke Tuerxun",27,45,"blue","KO/TKO"
"235","Tony Ferguson","Josh Thomson",92,54,"blue","DEC"
"236","Makwan Amirkhani","Arnold Allen",38,31,"red","DEC"
"237","Daniel Cormier","Jon Jones",68,106,"red","DEC"
"238","Manvel Gamburyan","Scott Jorgensen",39,52,"blue","DEC"
"239","Shayna Baszler","Amanda Nunes",8,22,"red","KO/TKO"
"240","Zubaira Tukhugov","Renato Moicano",96,48,"red","DEC"
"241","Yoel Romero","Chris Weidman",218,124,"blue","KO/TKO"
"242","Carlos Condit","Demian Maia",155,131,"red","SUB"
"243","Vaughan Lee","Paddy Holohan",146,78,"red","DEC"
"244","Ulka Sasaki","Wilson Reis",36,138,"red","DEC"
"245","Brian Ortega","Thiago Tavares",3,18,"blue","KO/TKO"
"246","Felipe Silva","Shane Campbell",0,167,"blue","KO/TKO"
"247","Ian McCall","Brad Pickett",0,49,"blue","DEC"
"248","Michinori Tanaka","Rani Yahya",100,80,"red","DEC"
"249","Rob Font","John Lineker",12,226,"red","DEC"
"250","JC Cottrell","Jason Gonzalez",14,10,"red","SUB"
"251","Milana Dudieva","Elizabeth Phillips",0,67,"blue","DEC"
"252","Jan Blachowicz","Alexander Gustafsson",175,96,"red","DEC"
"253","Corey Anderson","Mauricio Rua",84,49,"red","DEC"
"254","Cortney Casey","Joanne Calderwood",0,120,"red","DEC"
"255","Valentina Shevchenko","Holly Holm",60,110,"blue","DEC"
"256","Vitor Belfort","Jacare Souza",24,84,"red","KO/TKO"
"257","Marc Diakiese","Frankie Perez",48,28,"blue","DEC"
"258","Shane Howell","Paddy Holohan",0,36,"red","DEC"
"259","Tim Boetsch","Luke Rockhold",0,12,"red","SUB"
"260","Justin Jones","Ron Stallings",0,10,"red","DEC"
"261","Lukasz Sajewski","Nick Hein",0,75,"red","DEC"
"262","Valerie Letourneau","Maryna Moroz",142,12,"blue","DEC"
"263","Ryan Hall","Gray Maynard",23,66,"blue","DEC"
"264","Heather Jo Clark","Karolina Kowalkiewicz",0,66,"red","DEC"
"265","Colby Covington","Wagner Silva",11,17,"blue","SUB"
"266","Johnny Case","Yan Cabral",112,34,"blue","DEC"
"267","Cody Pfister","Scott Holtzman",32,109,"red","DEC"
"268","Belal Muhammad","Alan Jouban",0,216,"red","DEC"
"269","Paul Felder","Joshua Burkman",237,102,"blue","DEC"
"270","Maryna Moroz","Joanne Calderwood",0,109,"blue","SUB"
"271","Bruno Santos","Elias Theodorou",25,73,"red","DEC"
"272","Conor McGregor","Jose Aldo",137,134,"blue","KO/TKO"
