"","B_Name","R_Name","BPrev","RPrev","BStreak","RStreak","B_Age","R_Age","B_Height","R_Height","B_Weight","R_Weight","B_Country","R_Country","Date","winby","winner","B__Round1_Grappling_Submissions_Attempts","B__Round2_Grappling_Submissions_Attempts","B__Round3_Grappling_Submissions_Attempts","R__Round1_Grappling_Submissions_Attempts","R__Round2_Grappling_Submissions_Attempts","R__Round3_Grappling_Submissions_Attempts","B__Round1_Grappling_Takedowns_Landed","B__Round2_Grappling_Takedowns_Landed","B__Round3_Grappling_Takedowns_Landed","R__Round1_Grappling_Takedowns_Landed","R__Round2_Grappling_Takedowns_Landed","R__Round3_Grappling_Takedowns_Landed","B__Round1_Strikes_Significant.Strikes_Landed","B__Round2_Strikes_Significant.Strikes_Landed","B__Round3_Strikes_Significant.Strikes_Landed","R__Round1_Strikes_Significant.Strikes_Landed","R__Round2_Strikes_Significant.Strikes_Landed","R__Round3_Strikes_Significant.Strikes_Landed"
"887","Ed Herman","Tim Boetsch",2,4,0,0,36,36,185,182,93,84,"USA","States","01/18/2016","KO/TKO","blue",0,0,0,0,0,0,1,0,0,1,0,0,10,17,24,29,15,0
"888","Jake Collier","Vitor Miranda",0,1,0,0,28,38,190,185,84,84,"USA","Brazil","12/22/2014","KO/TKO","red",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,3
"889","Kevin Casey","Sam Alvey",4,6,0,1,35,30,180,187,84,84,"USA","States","08/28/2016","KO/TKO","red",0,0,0,1,0,0,1,1,1,0,0,0,49,34,33,37,27,64
"890","Ion Cutelaba","Misha Cirkunov",0,2,0,2,23,30,185,190,93,93,"Moldova","Latvia","06/20/2016","SUB","red",0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,52,4,0
"891","John Makdessi","Donald Cerrone",2,6,1,6,31,33,172,185,70,77,"Canada","States","05/24/2015","KO/TKO","red",0,0,0,4,0,0,0,0,0,1,1,1,63,20,25,85,73,88
"892","Jake Lindsey","Olivier Aubin-Mercier",1,1,0,0,30,28,180,175,70,70,"USA","Canada","10/06/2014","SUB","red",0,0,0,0,0,0,0,0,0,0,1,1,20,29,0,13,16,16
"893","Alexander Yakovlev","Kamaru Usman",4,2,2,2,32,29,190,182,77,77,"Russia","Nigeria","07/25/2016","DEC","red",0,0,0,0,1,0,3,0,2,6,3,3,30,36,46,24,16,23
"894","Luis Henrique","Marcin Tybura",2,2,2,1,23,31,187,190,110,113,"Brazil","Poland","03/06/2017","KO/TKO","red",0,2,1,0,0,0,3,3,1,0,0,1,31,11,9,28,17,18
"895","Renato Moicano","Jeremy Stephens",2,6,2,0,27,30,180,175,65,65,"Brazil","States","04/16/2017","DEC","blue",0,1,0,0,0,1,0,1,0,0,0,1,33,39,20,56,117,81
"896","Jack Marshman","Magnus Cedenblad",0,3,0,3,27,34,182,190,84,84,"Wales","Sweden","12/08/2016","KO/TKO","blue",0,0,0,0,1,0,0,0,0,3,2,1,0,0,0,27,28,6
"897","Charles Oliveira","Anthony Pettis",4,4,1,0,27,30,177,177,65,65,"Brazil","USA","12/06/2016","SUB","red",2,2,1,0,1,0,4,3,0,0,0,0,29,23,5,59,69,40
"898","Thales Leites","Francis Carmont",1,2,1,0,35,35,185,190,84,84,"Brazil","France","08/25/2014","KO/TKO","blue",0,0,0,0,1,0,0,0,0,1,0,0,5,0,0,12,26,10
"899","Anthony Smith","Cezar Ferreira",0,5,0,1,28,32,193,185,84,84,"USA","Brazil","07/11/2016","DEC","red",0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,38,20,11
"900","Kevin Lee","Leonardo Santos",4,3,3,2,24,37,175,182,70,70,"States","Brazil","12/14/2015","KO/TKO","red",3,2,1,0,1,0,3,5,2,1,1,1,55,40,64,29,22,23
"901","Dominic Waters","George Sullivan",0,3,0,0,27,36,185,182,77,77,"USA","USA","07/13/2015","DEC","red",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,57,48,38
"902","Thiago Alves","Carlos Condit",2,1,2,0,33,32,175,187,70,77,"Brazil","USA","06/05/2015","KO/TKO","red",0,0,0,1,0,0,0,0,0,0,0,0,53,45,41,8,5,0
"903","Kajan Johnson","Zhang Lipeng",0,3,0,0,32,27,180,180,70,70,"Canada","China","05/18/2015","DEC","blue",0,0,0,2,1,0,0,0,0,1,4,1,0,0,0,25,19,13
"904","Brad Tavares","Tim Boetsch",2,1,0,0,29,36,185,182,84,84,"USA","States","08/18/2014","KO/TKO","red",0,0,0,0,0,0,1,1,0,0,0,0,21,22,23,1,0,0
"905","Bryan Barberena","Joe Ellenberger",0,1,0,1,27,31,182,175,77,70,"USA","USA","12/16/2014","KO/TKO","blue",0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,7,11,4
"906","John Lineker","Francisco Rivera",3,3,2,1,26,35,160,172,61,61,"Brazil","USA","09/07/2015","SUB","blue",3,2,0,0,1,0,1,1,0,3,0,0,30,79,89,32,10,19
"907","Yancy Medeiros","Dustin Poirier",3,3,2,1,29,28,177,175,70,70,"USA","States","06/08/2015","KO/TKO","red",2,1,0,1,0,0,0,0,0,0,0,0,57,9,0,65,14,0
"908","Sam Alvey","Nate Marquardt",8,6,3,1,30,37,187,182,84,84,"States","USA","01/31/2017","DEC","blue",1,0,0,1,0,0,0,0,0,3,1,0,70,94,86,71,27,14
"909","Alvaro Herrera","Vicente Luque",1,1,1,0,26,25,182,180,77,77,"Mexico","States","07/11/2016","SUB","red",0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,7,8,13
"910","Al Iaquinta","Joe Lauzon",4,1,2,1,29,32,175,177,70,70,"USA","USA","02/02/2015","KO/TKO","blue",2,1,0,0,0,0,0,1,0,1,1,0,73,68,45,9,12,0
"911","Beneil Dariush","Jim Miller",5,2,3,0,27,33,177,172,70,70,"Iran","States","04/20/2015","DEC","blue",2,2,0,1,0,0,3,2,1,2,0,0,63,28,12,31,8,0
"912","Dominic Waters","Dong Hyun Kim",1,2,0,0,27,35,185,187,77,77,"USA","Korea","11/30/2015","KO/TKO","red",0,0,0,0,0,0,2,1,2,0,1,0,9,1,3,21,6,2
"913","Jeremy Stephens","Dennis Bermudez",2,3,0,0,30,30,175,167,65,65,"States","States","07/13/2015","KO/TKO","blue",0,0,0,1,1,0,0,0,1,5,3,0,21,37,23,61,35,14
"914","Dustin Ortiz","Justin Scoggins",2,1,1,1,28,24,165,170,56,61,"USA","USA","07/08/2014","DEC","blue",0,0,0,0,0,0,2,1,1,3,1,2,29,13,39,21,6,34
"915","Sean O'Connell","Corey Anderson",6,2,0,0,33,27,185,190,93,93,"USA","States","12/11/2016","KO/TKO","red",0,0,2,0,0,0,0,0,0,1,3,4,127,71,97,51,62,26
"916","Tom Watson","Rafael Natal",2,2,1,1,34,34,185,182,84,84,"England","Brazil","02/02/2015","DEC","red",0,0,0,0,0,0,0,0,0,1,2,0,44,45,46,30,22,19
"917","John Howard","Tim Means",4,6,1,0,34,33,170,187,77,77,"USA","USA","12/14/2015","KO/TKO","red",0,0,0,0,0,2,0,3,0,1,3,3,46,36,53,108,79,58
"918","Kelvin Gastelum","Tyron Woodley",3,3,3,1,25,34,175,175,84,77,"States","States","02/02/2015","DEC","red",1,0,0,0,0,0,1,0,1,2,1,0,39,68,35,34,14,5
"919","Leandro Issa","Taylor Lapilus",4,3,0,0,33,24,170,167,61,61,"Brazil","France","09/05/2016","DEC","red",1,1,3,1,1,0,4,2,1,0,0,2,53,48,11,66,35,30
"920","Michael Johnson","Dustin Poirier",4,5,0,3,30,28,177,175,70,70,"States","States","09/19/2016","KO/TKO","blue",0,0,0,2,0,0,0,0,3,1,0,0,86,102,85,128,14,0
"921","Irene Aldana","Leslie Smith",0,5,0,0,28,34,175,175,61,61,"Mexico","USA","12/19/2016","DEC","red",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,46,41
"922","Mike de la Torre","Tiago Trator",2,1,0,1,30,29,180,175,65,65,"States","Brazil","02/23/2015","KO/TKO","blue",0,0,0,0,0,0,1,0,0,0,0,0,29,15,19,16,17,29
"923","Khalil Rountree Jr.","Daniel Jolly",2,1,0,0,27,32,185,185,93,93,"States","USA","02/06/2017","KO/TKO","blue",0,0,0,0,0,0,0,0,0,0,0,0,7,5,5,6,0,0
"924","Roan Carneiro","Ryan LaFlare",3,3,1,1,38,33,180,185,77,77,"Brazil","States","02/13/2017","DEC","red",1,0,0,0,0,0,1,1,0,1,1,2,15,2,17,43,47,46
"925","Jimmie Rivera","Iuri Alcantara",2,5,2,1,27,36,162,175,61,61,"USA","Brazil","02/21/2016","DEC","blue",0,0,0,0,0,0,0,0,0,3,0,3,50,33,28,47,59,52
"926","Jessica Eye","Sara McMann",4,4,0,0,30,36,167,167,61,61,"USA","States","05/30/2016","DEC","red",0,1,0,0,0,0,0,1,0,1,3,2,111,45,57,42,28,17
"927","Matthew Lopez","Rani Yahya",0,3,0,2,30,32,170,167,61,61,"USA","Brazil","07/14/2016","SUB","red",0,0,0,1,3,0,0,0,0,5,2,0,0,0,0,22,13,5
"928","Ovince Saint Preux","Glover Teixeira",4,2,2,0,33,37,190,187,93,93,"States","Brazil","08/10/2015","SUB","red",0,1,0,0,0,0,1,1,0,0,0,0,41,10,1,24,23,25
"929","Jake Ellenberger","Robbie Lawler",0,1,0,0,31,35,175,180,77,77,"USA","USA","05/24/2014","KO/TKO","red",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,21,43
"930","Eddie Alvarez","Donald Cerrone",0,3,0,3,33,33,175,185,70,77,"States","States","09/29/2014","DEC","red",0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,46,18,0
"931","Maximo Blanco","Andy Ogle",1,1,0,0,33,28,172,172,65,65,"Venezuela","England","06/02/2014","DEC","blue",0,0,0,0,0,0,1,1,1,0,1,0,20,16,8,4,9,8
"932","Naoyuki Kotani","Norman Parke",0,1,0,0,35,30,172,180,70,70,"Japan","Ireland","07/21/2014","KO/TKO","red",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,11
"933","Nate Marquardt","Thiago Santos",4,5,1,3,37,33,182,182,84,84,"USA","Brazil","05/15/2016","KO/TKO","red",1,0,0,0,0,0,2,0,0,0,1,0,52,15,14,53,37,36
"934","Yoel Romero","Jacare Souza",4,3,4,3,39,37,182,185,84,84,"Cuba","Brazil","12/14/2015","DEC","blue",0,0,0,2,0,3,6,2,3,3,1,3,54,43,75,16,20,18
"935","Maximo Blanco","Chas Skelly",4,6,0,0,33,31,172,180,65,65,"Venezuela","USA","09/19/2016","SUB","red",1,0,0,6,4,2,3,1,1,4,2,1,57,19,48,57,45,8
"936","Tim Means","Neil Magny",0,1,0,1,33,29,187,190,77,77,"USA","USA","05/12/2014","DEC","red",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,27,24
"937","Norman Parke","Francisco Trinaldo",3,4,0,2,30,38,180,175,70,70,"Ireland","Brazil","06/01/2015","DEC","red",0,0,0,0,1,0,0,2,0,1,1,2,45,36,33,49,37,57
"938","Vitor Miranda","Chris Camozzi",4,5,3,2,38,30,185,187,84,84,"Brazil","USA","05/31/2016","DEC","red",0,0,0,1,1,1,0,1,0,1,0,2,68,67,3,74,56,84
"939","Michael Johnson","Khabib Nurmagomedov",5,2,1,2,30,28,177,177,70,70,"States","Russia","11/14/2016","SUB","red",0,0,0,0,0,0,0,0,3,3,4,1,100,102,85,35,66,10
"940","Neil Magny","Hyun Gyu Lim",6,2,6,1,29,32,190,190,77,77,"USA","Korea","05/18/2015","KO/TKO","blue",0,0,1,0,0,1,6,4,5,0,0,0,80,140,90,40,21,8
"941","Ruan Potts","Derrick Lewis",2,3,0,0,39,32,187,190,112,118,"Africa","States","03/04/2015","KO/TKO","red",2,0,0,0,0,0,0,0,0,2,0,0,7,3,0,29,0,0
"942","Luke Sanders","Maximo Blanco",0,3,0,2,31,33,167,172,65,65,"States","Venezuela","01/18/2016","SUB","blue",0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,41,19,48
"943","CB Dollaway","Francis Carmont",1,1,1,0,33,35,187,190,93,84,"USA","France","06/02/2014","DEC","blue",0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,15,3
"944","Conor McGregor","Dustin Poirier",1,1,1,1,28,28,175,175,70,70,"Ireland","States","09/29/2014","KO/TKO","blue",0,0,0,1,0,0,1,0,0,0,0,0,18,0,0,31,14,0
"945","Bryan Barberena","Warlley Alves",3,4,1,4,27,26,182,180,77,77,"USA","Brazil","05/17/2016","DEC","blue",0,1,0,2,1,1,1,0,1,3,2,0,38,74,71,37,28,20
"946","Christos Giagos","Chris Wade",2,2,1,2,27,29,177,177,70,70,"USA","USA","06/08/2015","DEC","red",1,0,0,1,0,0,1,0,0,2,1,2,22,0,0,16,17,14
"947","Jerrod Sanders","Yosdenis Cedeno",0,1,0,0,37,32,172,172,61,70,"USA","Cuba","07/17/2014","KO/TKO","red",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,13
"948","Thomas Almeida","Yves Jabouin",1,2,1,1,25,37,170,170,61,61,"Brazil","Haiti","08/25/2015","KO/TKO","blue",0,0,0,0,0,0,0,0,0,2,2,1,32,43,45,34,40,19
"949","Joe Soto","T.J. Dillashaw",0,2,0,2,30,31,167,167,61,61,"States","USA","09/02/2014","KO/TKO","red",0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,43,73,85
"950","Jimy Hettes","Diego Brandao",1,1,0,0,29,29,175,170,65,65,"USA","Brazil","04/19/2015","KO/TKO","red",0,0,0,1,0,0,0,0,0,0,0,0,22,7,5,9,0,0
"951","Lauren Murphy","Sara McMann",0,1,0,0,33,36,170,167,61,61,"USA","States","08/18/2014","DEC","red",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"952","Alexander Yakovlev","Nico Musoke",1,2,0,0,32,30,190,182,77,77,"Russia","Sweden","10/29/2014","DEC","red",0,0,0,0,0,0,0,0,1,2,1,1,0,5,17,20,41,20
"953","Douglas Silva de Andrade","Henry Briones",2,2,1,0,31,36,170,172,61,61,"Brazil","Mexico","11/07/2016","KO/TKO","blue",0,0,0,0,1,0,0,0,0,0,0,0,22,22,22,26,29,12
"954","Rodrigo Damm","Evan Dunham",2,1,0,0,37,35,170,177,70,70,"Brazil","USA","01/05/2015","DEC","red",0,0,1,0,0,0,0,0,1,0,0,0,34,50,41,10,0,0
"955","Chris de la Rocha","Daniel Omielanczuk",0,2,0,0,37,34,193,182,120,112,"USA","Poland","07/23/2015","KO/TKO","red",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,22,21
"956","Brad Pickett","Urijah Faber",6,7,0,0,38,37,167,167,61,61,"England","USA","12/18/2016","DEC","red",1,0,0,0,1,1,2,3,4,2,4,2,76,62,46,78,71,44
"957","Jessica Andrade","Jessica Penne",4,2,0,0,25,34,160,165,52,52,"Brazil","States","06/05/2016","KO/TKO","blue",2,1,0,0,0,0,8,3,0,3,0,1,52,74,50,16,26,22
"958","Alan Jouban","Warlley Alves",1,1,1,1,35,26,182,180,77,77,"States","Brazil","11/10/2014","DEC","red",0,0,0,0,0,1,0,0,0,2,0,0,25,0,0,7,10,2
"959","Michael Johnson","Edson Barboza",1,3,1,2,30,31,177,180,70,70,"States","Brazil","02/23/2015","DEC","blue",0,0,0,0,0,0,0,0,1,0,0,0,18,16,14,62,16,14
"960","Ben Saunders","Kenny Robertson",2,3,2,3,33,33,187,177,77,77,"USA","USA","07/27/2015","DEC","blue",2,0,0,1,2,0,0,0,0,2,2,0,8,0,0,51,25,17
"961","Jeremy Kimball","Marcos Rogerio de Lima",0,2,0,0,26,31,182,185,93,93,"States","Brazil","01/31/2017","KO/TKO","red",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,31,0,0
"962","Sam Alvey","Derek Brunson",3,3,2,2,30,33,187,185,84,84,"States","States","08/10/2015","KO/TKO","red",0,0,0,1,0,0,0,0,0,3,3,1,22,18,52,32,11,18
"963","Andrew Craig","Cezar Ferreira",0,1,0,0,31,32,185,185,84,84,"USA","Brazil","06/30/2014","DEC","red",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"964","Makwan Amirkhani","Andy Ogle",0,2,0,0,28,28,177,172,65,65,"Kurdistan","England","01/26/2015","KO/TKO","blue",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,15,13,37
"965","Edson Barboza","Donald Cerrone",0,1,0,1,31,33,180,185,70,77,"Brazil","States","04/21/2014","SUB","red",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0,0
"966","Drew Dober","Leandro Silva",2,2,1,1,28,31,172,175,70,70,"USA","Brazil","03/26/2015","SUB","no contest",1,0,0,1,1,0,0,0,0,2,3,0,16,20,18,9,8,13
"967","Damon Jackson","Yancy Medeiros",0,1,0,0,28,29,180,177,65,70,"USA","USA","09/02/2014","SUB","red",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
"968","Stephen Thompson","Patrick Cote",1,1,1,1,34,37,182,180,77,77,"States","Canada","09/29/2014","DEC","blue",0,0,0,0,0,0,0,0,0,1,1,1,38,0,0,17,9,7
"969","Veronica Macedo","Ashlee Evans-Smith",0,1,0,0,21,29,162,172,61,61,"Venezuela","USA","09/05/2016","KO/TKO","red",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0
"970","Alexander Yakovlev","George Sullivan",3,4,1,1,32,36,190,182,77,77,"Russia","USA","02/01/2016","KO/TKO","blue",0,0,0,0,3,0,1,0,2,4,1,0,15,36,46,95,60,42
"971","Niko Price","Brandon Thatch",0,3,0,0,27,31,182,187,77,77,"States","USA","01/02/2017","SUB","blue",0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,39,25,10
"972","Cezar Ferreira","Elias Theodorou",7,5,3,1,32,28,185,185,84,84,"Brazil","Canada","02/22/2017","DEC","red",0,1,0,0,0,0,5,4,4,0,6,3,57,36,16,90,103,27
"973","Leandro Issa","Iuri Alcantara",3,4,2,0,33,36,170,175,61,61,"Brazil","Brazil","08/02/2015","DEC","red",1,1,3,0,0,0,3,2,1,3,0,3,39,42,5,40,41,24
"974","Leon Edwards","Kamaru Usman",3,1,2,1,25,29,182,182,77,77,"Jamaica","Nigeria","12/20/2015","DEC","red",0,0,0,0,1,0,0,0,0,5,1,0,28,24,20,12,3,0
"975","Edgar Garcia","Sheldon Westcott",1,2,0,0,33,32,177,185,77,77,"Mexico","Canada","01/04/2016","KO/TKO","red",0,0,0,0,0,0,2,0,0,3,1,1,12,0,0,21,6,3
"976","Randa Markos","Carla Esparza",5,3,0,1,31,29,162,154,52,52,"Iraq","States","02/20/2017","DEC","blue",2,0,0,0,0,1,1,3,2,5,2,4,67,66,64,29,25,20
"977","CB Dollaway","Michael Bisping",3,3,0,0,33,38,187,185,93,84,"USA","England","04/27/2015","DEC","red",0,0,0,0,0,0,0,1,2,0,0,0,41,8,7,32,40,36
"978","Joachim Christensen","Bojan Mihajlovic",1,1,0,0,38,36,190,180,93,106,"Denmark","Serbia","01/17/2017","KO/TKO","blue",0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,3,0,0
"979","Krzysztof Jotko","Bradley Scott",3,2,2,1,27,27,185,185,84,84,"Poland","England","02/29/2016","DEC","blue",0,0,0,0,1,0,0,0,1,1,0,0,21,27,27,28,51,4
"980","Kyoji Horiguchi","Demetrious Johnson",3,2,3,2,26,30,165,160,56,56,"Japan","USA","04/27/2015","SUB","red",0,0,0,0,2,0,0,2,1,1,0,0,52,48,40,35,43,32
"981","Charles Rosa","Yair Rodriguez",2,1,1,1,30,24,175,180,65,65,"USA","Mexico","06/15/2015","DEC","red",0,2,3,3,2,0,2,3,2,1,1,0,29,19,11,12,3,19
"982","Masanori Kanehara","Rani Yahya",1,2,1,1,34,32,170,167,61,61,"Japan","Brazil","07/17/2015","DEC","red",0,2,0,1,1,0,1,1,0,1,2,0,19,1,12,14,2,0
"983","Donald Cerrone","Rafael dos Anjos",7,5,7,4,33,32,185,175,77,70,"States","Brazil","12/20/2015","KO/TKO","red",4,0,0,2,1,0,1,1,1,2,3,4,116,113,88,94,75,48
"984","Andrei Arlovski","Stipe Miocic",4,4,4,1,38,34,193,193,109,109,"Belarus","USA","01/04/2016","KO/TKO","red",0,0,0,0,0,0,0,0,0,1,2,3,86,16,13,53,72,73
"985","Gegard Mousasi","Vitor Belfort",8,3,2,0,31,39,187,182,84,84,"Netherlands","Brazil","10/11/2016","KO/TKO","blue",3,0,0,0,0,0,4,2,1,0,0,0,108,72,72,28,0,0
"986","Caio Magalhaes","Brad Tavares",3,5,0,0,29,29,185,185,84,84,"Brazil","USA","09/12/2016","DEC","red",0,0,0,0,0,0,0,0,0,1,2,0,28,0,0,51,44,47
"987","Adam Milstead","Chris de la Rocha",0,1,0,0,29,37,190,193,104,120,"States","USA","05/29/2016","KO/TKO","blue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"988","Alex Oliveira","Will Brooks",6,1,1,1,29,30,180,177,77,70,"Brazil","States","10/03/2016","KO/TKO","blue",1,1,1,0,0,0,4,2,4,0,1,0,66,47,44,19,33,28
"989","Ovince Saint Preux","Jon Jones",6,2,1,2,33,29,190,193,93,93,"States","USA","04/25/2016","DEC","red",0,1,0,0,0,0,1,1,1,2,0,0,63,38,32,52,44,75
"990","Dan Hooker","Yair Rodriguez",0,2,0,2,27,24,182,180,65,65,"Zealand","Mexico","03/10/2016","DEC","red",0,0,0,4,2,1,0,0,0,1,2,0,0,0,0,22,38,30
"991","Paulo Borrachinha","Garreth McLellan",0,2,0,0,25,34,182,185,84,84,"Brazil","Africa","03/13/2017","KO/TKO","blue",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,37,23,9
"992","Matt Brown","Demian Maia",3,4,1,3,36,39,182,185,77,77,"USA","Brazil","05/17/2016","SUB","red",1,4,0,0,2,0,4,1,1,3,3,3,76,61,29,68,25,21
"993","Beneil Dariush","Daron Cruickshank",4,5,2,0,27,31,177,172,70,70,"Iran","USA","03/18/2015","SUB","blue",1,1,0,1,0,1,2,2,1,4,5,2,42,22,12,89,47,18
"994","Hector Lombard","Johny Hendricks",1,6,0,0,39,33,175,175,77,84,"Cuba","States","02/22/2017","DEC","red",2,0,0,0,1,0,2,0,0,5,9,6,20,3,0,67,128,101
"995","Randy Brown","Matt Dwyer",0,3,0,0,26,27,190,193,77,77,"Jamaica","Canada","02/01/2016","DEC","blue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,16,4
"996","Louis Smolka","Paddy Holohan",4,4,2,2,25,28,175,177,56,56,"USA","Ireland","10/26/2015","SUB","blue",2,1,3,5,0,0,0,3,5,4,1,2,68,71,85,37,20,49
"997","Willie Gates","Dustin Ortiz",2,4,1,0,30,28,172,165,56,56,"USA","USA","08/09/2015","KO/TKO","red",1,0,0,0,0,0,0,0,0,3,3,2,32,5,4,59,42,56
"998","Tateki Matsuda","Chris Beal",0,1,0,1,31,31,170,170,56,61,"Japan","USA","09/08/2014","DEC","red",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,0
"999","Paul Felder","Danny Castillo",1,2,1,0,32,37,180,175,70,70,"States","USA","01/05/2015","KO/TKO","blue",0,0,0,1,0,1,0,0,1,0,0,2,17,23,11,26,13,0
"1000","Stephen Thompson","Rory MacDonald",4,4,4,0,34,27,182,182,77,77,"States","Canada","06/20/2016","DEC","blue",0,0,0,0,0,0,1,0,0,1,0,1,95,28,23,43,111,76
"1001","Derrick Lewis","Matt Mitrione",2,1,2,1,32,38,190,190,118,120,"States","USA","09/08/2014","KO/TKO","red",0,0,0,0,0,0,2,0,0,0,0,0,28,0,0,24,0,0
"1002","Jon Delos Reyes","Roldan Sangcha-an",2,1,0,0,29,26,167,162,56,56,"Guam","Philippines","05/18/2015","SUB","blue",0,0,0,0,0,0,1,0,0,1,0,0,22,0,0,1,13,22
"1003","Erik Perez","Francisco Rivera",2,5,1,0,27,35,172,172,61,61,"Mexico","USA","07/31/2016","DEC","blue",0,0,0,0,1,0,1,0,1,3,1,1,19,14,8,85,35,26
"1004","Bobby Green","Dustin Poirier",2,4,0,2,30,28,177,175,70,70,"USA","States","06/05/2016","KO/TKO","red",0,0,0,2,0,0,0,0,0,1,0,0,35,40,34,92,14,0
"1005","Colby Covington","Bryan Barberena",6,4,2,2,29,27,180,182,77,77,"USA","USA","12/18/2016","DEC","blue",0,0,2,0,1,0,11,7,3,1,0,1,47,38,22,59,111,133
"1006","Chris Beal","Chris Kelades",3,2,0,0,31,36,170,170,61,56,"USA","USA","08/24/2015","DEC","red",1,0,0,0,1,0,2,0,3,0,1,1,42,40,27,7,33,14
"1007","Marcel Fortuna","Anthony Hamilton",0,5,0,0,31,36,185,195,93,118,"Brazil","States","02/06/2017","KO/TKO","blue",0,0,0,0,0,0,0,0,0,5,3,1,0,0,0,55,69,30
"1008","Rick Story","Tarec Saffiedine",2,3,1,1,32,30,177,177,77,77,"USA","Belgium","05/31/2016","DEC","blue",0,1,0,0,0,0,2,1,0,0,0,1,27,28,14,44,77,50
"1009","Leonardo Mafra","Stevie Ray",2,1,1,1,27,27,177,177,70,70,"Brazil","Scotland","07/23/2015","KO/TKO","red",0,0,0,1,1,0,1,2,2,0,0,0,52,30,23,4,27,0
"1010","Alex Garcia","Neil Magny",1,3,1,3,29,29,175,190,77,77,"Republic","USA","08/25/2014","DEC","red",0,0,0,0,0,0,3,3,2,4,1,2,15,33,13,33,66,31
"1011","Alex Morono","Kyle Noke",0,2,0,1,26,37,180,185,77,77,"States","Australia","01/04/2016","DEC","blue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,19,13
"1012","John Howard","Cathal Pendred",3,4,0,4,34,29,170,185,77,77,"USA","Ireland","07/13/2015","DEC","blue",0,0,0,0,1,0,0,3,0,4,7,1,32,20,35,40,48,44
"1013","Henry Cejudo","Jussier Formiga",3,3,3,3,30,31,162,165,56,56,"USA","Brazil","11/23/2015","DEC","blue",0,0,1,1,0,0,2,2,3,4,2,1,57,59,68,22,12,7
"1014","Krzysztof Jotko","Tor Troeng",1,1,0,0,27,34,185,187,84,84,"Poland","Sweden","2014-10-04","DEC","blue",0,0,0,0,0,0,0,0,0,1,0,0,10,5,0,18,6,2
"1015","Michelle Waterson","Rose Namajunas",2,4,2,0,31,24,160,165,52,52,"USA","USA","04/16/2017","SUB","red",3,2,1,1,0,0,3,0,1,5,0,1,22,20,17,69,59,29
"1016","Shamil Abdurakhimov","Derrick Lewis",1,8,1,3,35,32,190,190,106,118,"Russia","States","12/11/2016","KO/TKO","red",0,0,0,0,0,0,1,0,0,3,0,0,13,14,20,91,64,25
"1017","Mirko Cro Cop","Gabriel Gonzaga",0,2,0,0,42,37,187,187,99,109,"Croatia","Brazil","04/13/2015","KO/TKO","blue",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,6,6
"1018","Gian Villante","Mauricio Rua",6,3,1,1,31,35,190,185,93,93,"States","Brazil","03/13/2017","KO/TKO","red",0,0,0,0,0,0,3,1,0,1,0,0,134,87,38,61,26,10
"1019","Beneil Dariush","Michael Johnson",6,2,4,2,27,30,177,177,70,70,"Iran","States","08/10/2015","DEC","blue",2,3,0,0,0,0,3,3,2,0,0,2,80,35,15,32,30,24
"1020","Stephen Thompson","Johny Hendricks",3,3,3,1,34,33,182,175,77,84,"States","States","02/08/2016","KO/TKO","blue",0,0,0,0,1,0,1,0,0,4,5,4,71,28,23,39,98,64
"1021","Mitch Gagnon","Renan Barao",1,2,1,0,32,30,165,167,61,65,"Canada","Brazil","12/22/2014","SUB","red",2,3,0,0,0,0,0,0,2,0,0,0,16,11,20,24,20,19
