"","B_Name","R_Name","BPrev","RPrev","BStreak","RStreak","B_Age","R_Age","B_Height","R_Height","B_Weight","R_Weight","B_Country","R_Country","Date","winby","winner","B__Round1_Grappling_Submissions_Attempts","B__Round2_Grappling_Submissions_Attempts","B__Round3_Grappling_Submissions_Attempts","R__Round1_Grappling_Submissions_Attempts","R__Round2_Grappling_Submissions_Attempts","R__Round3_Grappling_Submissions_Attempts","B__Round1_Grappling_Takedowns_Landed","B__Round2_Grappling_Takedowns_Landed","B__Round3_Grappling_Takedowns_Landed","R__Round1_Grappling_Takedowns_Landed","R__Round2_Grappling_Takedowns_Landed","R__Round3_Grappling_Takedowns_Landed","B__Round1_Strikes_Significant.Strikes_Landed","B__Round2_Strikes_Significant.Strikes_Landed","B__Round3_Strikes_Significant.Strikes_Landed","R__Round1_Strikes_Significant.Strikes_Landed","R__Round2_Strikes_Significant.Strikes_Landed","R__Round3_Strikes_Significant.Strikes_Landed"
"672","Ericka Almeida","Juliana Lima",0,2,0,1,28,35,167,165,52,52,"Brazil","Brazil","05/30/2015","DEC","red",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,24,22,23
"673","Max Griffin","Erick Montano",1,2,0,0,31,31,180,182,77,77,"USA","Mexico","11/07/2016","KO/TKO","blue",1,0,0,0,0,0,0,0,0,1,2,1,8,3,2,34,19,17
"674","Anthony Johnson","Daniel Cormier",6,6,3,3,33,38,187,180,93,93,"USA","USA","04/10/2017","SUB","red",0,0,0,0,3,2,2,0,1,5,3,2,98,32,23,79,94,80
"675","Shane Campbell","John Makdessi",0,1,0,0,30,31,182,172,70,70,"Canada","Canada","04/27/2015","KO/TKO","red",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,25
"676","Todd Duffee","Frank Mir",1,2,1,1,31,37,190,190,118,119,"USA","USA","07/17/2015","KO/TKO","red",0,0,0,0,1,0,0,0,0,0,1,0,8,0,0,11,2,0
"677","Akbarh Arreola","Jake Matthews",3,3,0,0,34,22,177,175,70,70,"Mexico","Australia","11/18/2015","KO/TKO","red",1,0,0,0,1,1,2,1,0,2,3,1,30,20,26,43,25,22
"678","Eddie Alvarez","Rafael Dos Anjos",3,6,2,5,33,32,175,175,70,70,"States","Brazil","07/11/2016","KO/TKO","blue",0,0,0,2,1,0,3,1,5,2,3,4,35,41,45,120,75,48
"679","Siyar Bahadurzada","Brandon Thatch",0,2,0,0,32,31,180,187,77,77,"Afghanistan","USA","03/07/2016","SUB","blue",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,19,17,8
"680","Brad Pickett","Francisco Rivera",4,4,0,0,38,35,167,172,61,61,"England","USA","02/29/2016","DEC","blue",1,0,0,0,1,0,2,2,2,3,0,0,59,45,40,48,10,19
"681","Thales Leites","Michael Bisping",3,4,3,1,35,38,185,185,84,84,"Brazil","England","07/23/2015","DEC","red",0,2,0,0,0,0,0,1,0,0,0,0,27,16,0,55,64,64
"682","Leandro Silva","Rustam Khabilov",6,4,0,2,31,30,175,172,70,70,"Brazil","Russia","09/03/2016","DEC","red",1,2,0,0,0,0,4,7,1,6,3,8,55,45,65,45,37,53
"683","Brian Ortega","Diego Brandao",2,3,1,2,26,29,172,170,65,65,"USA","Brazil","01/04/2016","SUB","blue",3,0,0,1,0,0,1,0,0,2,0,0,8,5,31,35,0,0
"684","Pedro Munhoz","Russell Doane",3,4,0,0,30,30,167,170,61,65,"Brazil","USA","07/12/2016","SUB","blue",2,0,0,0,2,2,2,0,0,3,5,2,42,23,27,25,51,18
"685","Dong Hyun Kim","Tyron Woodley",1,2,1,0,35,34,187,175,77,77,"Korea","States","08/25/2014","KO/TKO","red",0,0,0,0,0,0,0,1,0,2,1,0,19,6,2,21,14,5
"686","Matt Mitrione","Gabriel Gonzaga",2,1,2,0,38,37,190,187,120,109,"USA","Brazil","12/16/2014","KO/TKO","blue",0,0,0,0,0,0,0,0,0,1,0,0,31,0,0,17,6,6
"687","Chris Kelades","Ray Borg",1,2,1,1,36,23,170,162,56,56,"USA","States","02/16/2015","SUB","red",0,1,0,2,2,0,0,1,1,3,1,2,5,32,13,4,5,5
"688","Jason Knight","Alex Caceres",3,7,2,0,24,28,177,177,65,65,"States","USA","01/31/2017","SUB","blue",2,3,0,0,0,1,3,2,0,3,2,2,53,35,75,84,104,106
"689","Michel Prazeres","Gilbert Burns",3,4,2,4,35,30,167,177,70,70,"Brazil","Brasil","09/26/2016","DEC","blue",1,0,0,3,0,2,3,7,1,4,1,1,29,26,46,42,27,30
"690","Stipe Miocic","Fabricio Werdum",5,3,2,3,34,39,193,193,109,104,"USA","Brazil","05/15/2016","KO/TKO","blue",0,0,0,0,0,1,1,2,3,2,1,0,64,72,73,50,91,50
"691","Amanda Nunes","Miesha Tate",4,5,3,5,28,30,172,167,61,61,"Brazil","States","07/11/2016","SUB","blue",1,2,0,0,5,2,2,1,0,1,1,2,76,23,3,73,67,48
"692","Kevin Lee","Jake Matthews",6,5,1,2,24,22,175,175,70,70,"States","Australia","07/11/2016","KO/TKO","blue",3,2,2,0,1,3,3,5,3,2,4,1,93,63,77,83,72,33
"693","Ryan Benoit","Brandon Moreno",3,1,1,1,27,23,165,170,56,56,"USA","Mexico","12/05/2016","DEC","red",0,0,0,2,0,0,1,0,0,1,0,0,21,25,14,8,0,0
"694","Mike de la Torre","Yui Chul Nam",4,1,0,1,30,35,180,175,65,65,"States","Korea","11/30/2015","DEC","blue",0,0,0,0,0,0,1,0,0,0,0,1,46,15,19,60,6,11
"695","Robert Whittaker","Brad Tavares",3,4,2,1,26,29,182,185,84,84,"Zealand","USA","05/11/2015","KO/TKO","blue",0,0,0,0,0,0,1,0,1,1,2,0,69,47,18,49,44,47
"696","Amanda Cooper","Anna Elmose",1,1,0,0,25,32,160,160,52,52,"States","Denmark","11/20/2016","DEC","blue",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0
"697","Tom Breese","Sean Strickland",2,4,2,4,25,26,190,185,77,77,"England","USA","06/05/2016","DEC","red",0,0,1,1,2,0,0,0,0,3,2,1,38,12,5,98,59,66
"698","Ketlen Vieira","Ashlee Evans-Smith",1,2,1,1,25,29,172,172,61,61,"Brazil","USA","04/15/2017","DEC","blue",0,0,0,0,0,0,1,2,1,2,1,0,4,2,7,27,29,28
"699","Sam Sicilia","Akira Corassani",3,2,0,0,31,34,172,172,65,65,"States","Sweden","01/26/2015","KO/TKO","blue",0,1,0,0,0,0,1,1,3,0,0,0,56,18,13,32,3,0
"700","Alexander Yakovlev","Gray Maynard",2,1,0,0,32,37,190,172,77,65,"Russia","USA","04/06/2015","DEC","blue",0,0,0,0,0,0,0,0,1,2,0,0,10,18,38,13,2,0
"701","Bethe Correia","Ronda Rousey",2,3,2,3,33,30,165,170,61,61,"Brazil","USA","08/02/2015","KO/TKO","red",0,0,0,1,0,0,0,0,0,1,0,0,45,101,36,28,0,0
"702","Nate Marquardt","Kelvin Gastelum",2,4,0,0,37,25,182,175,84,84,"USA","States","06/15/2015","KO/TKO","red",1,0,0,1,0,0,2,0,0,1,0,1,27,6,14,45,78,51
"703","Cristina Stanciu","Cortney Casey",1,2,0,0,22,29,165,170,52,52,"Romania","USA","07/14/2016","KO/TKO","red",1,1,0,0,0,0,0,0,1,0,0,0,11,11,17,61,31,43
"704","Henry Cejudo","Joseph Benavidez",5,4,0,4,30,32,162,162,56,56,"USA","USA","12/05/2016","DEC","red",0,0,1,0,0,0,4,2,4,3,1,2,78,73,82,89,84,98
"705","Danny Martinez","Richie Vaculik",3,2,0,0,31,33,167,167,56,56,"USA","Australia","11/18/2015","DEC","blue",0,0,0,2,1,0,2,2,1,2,3,1,40,57,42,46,32,23
"706","Ernest Chavez","Zubaira Tukhugov",2,1,0,1,33,26,172,172,70,65,"USA","Russia","10/06/2014","KO/TKO","red",0,0,0,0,0,0,1,1,0,2,0,1,33,25,24,9,9,17
"707","Rodrigo de Lima","Neil Magny",0,2,0,2,26,29,170,190,70,77,"Brazil","USA","06/30/2014","KO/TKO","red",0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,32,37,31
"708","Jon Delos Reyes","Neil Seery",3,4,1,0,29,37,167,162,56,56,"Guam","Ireland","10/24/2015","SUB","red",1,2,0,1,5,1,2,0,0,0,2,1,28,17,0,51,54,79
"709","Jim Alers","Chas Skelly",1,3,1,2,30,31,175,180,65,65,"USA","USA","02/16/2015","KO/TKO","red",0,0,0,3,3,2,0,0,2,3,1,1,17,9,10,8,20,6
"710","Miesha Tate","Holly Holm",4,2,4,2,30,35,167,172,61,65,"States","States","03/07/2016","SUB","blue",0,4,2,0,0,0,1,0,2,1,0,0,66,56,41,35,31,16
"711","Shane Burgos","Tiago Trator",0,3,0,1,26,29,180,175,65,65,"USA","Brazil","12/11/2016","DEC","blue",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,34,28,59
"712","Sirwan Kakai","Frankie Saenz",1,2,1,2,27,36,167,167,61,61,"Sweden","USA","08/10/2015","DEC","red",0,0,0,0,0,0,1,3,1,1,1,1,28,12,12,9,22,13
"713","Lorenz Larkin","Costas Philippou",1,1,0,0,30,37,180,180,77,84,"USA","Cyprus","05/12/2014","KO/TKO","red",0,0,0,0,0,0,0,0,0,0,0,0,8,8,23,4,0,0
"714","Albert Morales","Thomas Almeida",1,5,0,0,25,25,175,170,61,61,"States","Brazil","12/08/2016","KO/TKO","red",0,0,0,0,0,0,0,0,0,0,0,0,27,21,31,119,45,45
"715","Damian Grabowski","Anthony Hamilton",1,3,0,1,36,36,185,195,109,118,"Poland","States","08/01/2016","KO/TKO","red",0,0,0,0,0,0,0,0,0,4,3,1,1,0,0,46,69,30
"716","Erick Silva","Neil Magny",4,8,2,0,32,29,182,190,77,77,"Brazil","USA","08/24/2015","DEC","red",3,0,0,0,0,1,1,0,0,7,5,5,51,7,1,105,158,90
"717","Rafael dos Anjos","Anthony Pettis",4,1,3,1,32,30,175,177,70,65,"Brazil","USA","03/16/2015","DEC","blue",2,1,0,0,1,0,1,2,1,0,0,0,70,54,27,15,15,0
"718","James Krause","Daron Cruickshank",3,6,0,0,30,31,187,172,70,70,"USA","USA","07/27/2015","SUB","blue",0,0,0,1,0,1,0,0,0,4,5,2,63,54,50,102,51,18
"719","Aljamain Sterling","Takeya Mizugaki",2,2,2,0,27,33,170,170,61,61,"USA","Japan","04/20/2015","SUB","blue",0,0,3,0,0,0,2,3,2,0,0,0,35,34,39,18,5,14
"720","Sam Alvey","Cezar Ferreira",2,2,1,1,30,32,187,185,84,84,"States","Brazil","02/23/2015","KO/TKO","blue",0,0,0,0,0,0,0,0,0,1,0,1,18,18,52,14,6,3
"721","Zak Ottow","Sergio Moraes",1,3,1,0,30,34,180,182,77,77,"States","Brasil","11/20/2016","DEC","red",0,0,1,0,1,0,0,0,0,1,0,1,16,28,21,31,39,30
"722","Rustam Khabilov","Benson Henderson",0,1,0,1,30,33,172,175,70,77,"Russia","USA","2014-06-08","SUB","red",0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,11,17
"723","Anthony Johnson","Alexander Gustafsson",1,1,1,1,33,30,187,195,93,93,"USA","Sweden","01/27/2015","KO/TKO","blue",0,0,0,0,0,0,0,0,0,1,0,0,24,17,19,11,10,0
"724","Urijah Faber","Dominick Cruz",5,2,1,2,37,32,167,172,61,61,"USA","USA","06/05/2016","DEC","red",0,1,1,0,0,0,1,4,2,3,2,1,65,57,29,47,17,19
"725","Donald Cerrone","Rick Story",10,3,2,2,33,32,185,177,77,77,"States","USA","08/22/2016","KO/TKO","blue",6,0,0,0,1,0,4,1,1,2,1,0,130,160,108,43,41,43
"726","Ricardo Lamas","Chad Mendes",3,1,2,0,34,31,172,167,65,65,"USA","USA","04/06/2015","KO/TKO","red",1,0,1,0,0,0,0,1,1,0,0,0,27,22,24,25,16,10
"727","Wilson Reis","Dustin Ortiz",4,5,0,1,32,28,162,165,56,56,"Brazil","USA","02/01/2016","DEC","blue",1,0,1,0,1,0,4,4,5,5,4,3,40,22,24,73,73,103
"728","Roan Carneiro","Derek Brunson",1,4,1,3,38,33,180,185,77,84,"Brazil","States","21/02/2016","KO/TKO","red",1,0,0,1,0,0,0,0,0,3,3,1,1,0,0,59,11,18
"729","Rustam Khabilov","Norman Parke",2,5,0,1,30,30,172,180,70,70,"Russia","Ireland","02/29/2016","DEC","blue",0,0,0,0,0,0,2,1,2,2,2,3,20,19,13,63,74,49
"730","Brendan O'Reilly","Dong Hyun Kim",3,1,0,0,29,35,175,187,77,77,"Australia","Korea","12/05/2016","DEC","red",1,0,0,0,0,0,4,1,2,1,1,0,22,23,20,23,52,8
"731","James Vick","Beneil Dariush",4,8,4,0,30,27,190,177,70,70,"USA","Iran","06/05/2016","KO/TKO","red",1,0,0,2,3,0,0,0,0,4,3,2,65,90,66,122,62,48
"732","Shane Howell","Ray Borg",0,1,0,0,33,23,172,162,56,56,"USA","States","06/30/2014","SUB","red",0,0,0,0,2,0,0,0,0,2,1,2,0,0,0,2,5,5
"733","Cody Pfister","Sage Northcutt",2,1,1,1,26,21,177,182,70,70,"USA","USA","12/14/2015","SUB","red",0,0,0,0,0,0,0,2,3,1,0,0,18,7,2,21,0,0
"734","Dooho Choi","Cub Swanson",1,5,1,2,25,33,177,172,65,65,"Korea","USA","12/11/2016","DEC","red",0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,89,98,104
"735","Ashlee Evans-Smith","Raquel Pennington",0,1,0,0,29,28,172,170,61,61,"USA","States","12/08/2014","SUB","red",0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,9,33,40
"736","Carlos Condit","Robbie Lawler",2,4,1,3,32,35,187,180,77,77,"USA","USA","01/04/2016","DEC","red",1,0,0,0,0,0,0,2,0,0,0,0,32,56,0,70,85,89
"737","Cody Pfister","James Moontasri",0,1,0,0,26,28,177,177,70,77,"USA","Germany","02/16/2015","SUB","red",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5,3
"738","Adriano Martins","Leonardo Santos",4,4,3,3,34,37,177,182,70,70,"Brazil","Brazil","10/11/2016","DEC","red",0,0,0,0,1,0,1,0,2,2,1,1,29,4,4,61,22,23
"739","Travis Browne","Cain Velasquez",4,1,1,0,34,34,200,185,115,109,"States","USA","07/11/2016","KO/TKO","red",0,0,0,0,0,0,1,1,1,2,0,2,65,19,43,35,43,10
"740","Chris Camozzi","Thales Leites",6,5,3,0,30,35,187,185,84,84,"USA","Brazil","08/08/2016","SUB","red",1,1,1,0,2,0,1,0,3,0,1,1,89,66,102,41,38,27
"741","Patrick Cote","Donald Cerrone",5,9,3,1,37,33,180,185,77,77,"Canada","States","06/20/2016","KO/TKO","red",2,0,0,5,0,0,4,1,1,2,1,1,85,74,50,124,113,88
"742","Walt Harris","Soa Palelei",0,2,0,0,33,39,195,193,113,120,"USA","Australia","11/10/2014","KO/TKO","red",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,3,1
"743","Dustin Ortiz","Zach Makovsky",7,3,0,0,28,33,165,162,56,56,"USA","USA","12/11/2016","DEC","blue",0,1,0,0,0,0,5,4,4,2,3,0,91,95,121,19,28,41
"744","Jan Blachowicz","Patrick Cummins",5,8,0,0,34,36,187,187,93,93,"Poland","USA","04/10/2017","DEC","red",1,0,0,1,0,0,2,2,1,17,8,5,78,69,56,135,91,57
"745","James Krause","Jorge Masvidal",1,2,1,2,30,32,187,180,70,77,"USA","USA","09/29/2014","DEC","red",0,0,0,0,2,0,0,0,0,1,1,1,22,0,0,49,47,24
"746","Jorge Masvidal","Daron Cruickshank",1,2,1,2,32,31,180,172,77,70,"USA","USA","07/26/2014","DEC","blue",0,0,0,1,0,0,0,0,1,0,1,0,26,30,13,42,28,0
"747","Richard Walsh","Kiichi Kunimoto",1,2,1,2,28,35,182,177,77,77,"Australia","Japan","09/22/2014","DEC","red",0,0,0,1,0,0,3,1,1,1,0,0,10,39,22,17,0,0
"748","Aaron Phillips","Sam Sicilia",0,1,0,0,27,31,175,172,65,65,"USA","States","05/25/2014","DEC","red",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0
"749","Steve Kennedy","Richard Walsh",1,3,0,0,34,28,182,182,77,77,"England","Australia","11/18/2015","DEC","red",0,0,0,0,0,0,0,0,0,3,1,1,3,0,0,53,55,32
"750","Lewis Gonzalez","Leandro Silva",0,3,0,0,29,31,177,175,77,70,"States","Brazil","06/29/2015","DEC","red",0,0,0,1,2,0,0,0,0,2,5,0,0,0,0,29,13,13
